Reference	Localized Group	Message	Selections	
figs-abstractnouns_1_2__1	Abstract Nouns	unable to migrate selection, no match found for check in new resources	ତୁମ୍ଭମାନଙ୍କ ପ୍ରତି ଅନୁଗ୍ରହ ଓ ଶାନ୍ତି ପ୍ରଚୁର ହେଉ-1	
figs-abstractnouns_1_5__1	Abstract Nouns	unable to migrate selection, no match found for check in new resources	ଈଶ୍ବରଙ୍କ ଶକ୍ତି ଦ୍ବାରା-1	
figs-abstractnouns_4_19__1	Abstract Nouns	unable to migrate selection, no match found for check in new resources	ଉତ୍ତମ କର୍ମ କରି-1	
figs-activepassive_1_13__1	Active or Passive	unable to migrate selection, no match found for check in new resources	ଯୀଶୁ ଖ୍ରୀଷ୍ଟଙ୍କ ପ୍ରକାଶନରେ-1	
figs-activepassive_1_7__1	Active or Passive	unable to migrate selection, no match found for check in new resources	ଯୀଶୁ ଖ୍ରୀଷ୍ଟଙ୍କ ପ୍ରକାଶିତ ସମୟରେ-1	
figs-activepassive_2_20__1	Active or Passive	unable to migrate selection, no match found for check in new resources	ସତ୍କର୍ମ କରି ଏବଂ ତୁମ୍ଭେମାନେ ଦୁଃଖ ସହ୍ୟ କରିବ-1	
figs-activepassive_2_7__1	Active or Passive	unable to migrate selection, no match found for check in new resources	ଯେଉଁ ପ୍ରସ୍ତର ଯାହା ନିର୍ମାଣକାରୀମାନଙ୍କ ଦ୍ବାରା ଅଗ୍ରାହ୍ୟ ହେଲା-1	
figs-doublet_3_4__1	Doublet	unable to migrate selection, no match found for check in new resources	ହୃଦୟର ଆନ୍ତରିକ ମନୁଷ୍ୟ-1	
figs-euphemism_4_6__1	Euphemism	unable to migrate selection, no match found for check in new resources	ଯେପରି ସେମାନେ ମନୁଷ୍ୟ ଭାବେ ଶରୀରରେ ବିଚାରିତ ହେବେ-1	
figs-explicit_2_12__1	Assumed Knowledge and Implicit Information	unable to migrate selection, no match found for check in new resources	ଅନୁଗ୍ରହର ଦିବସରେ-1	
figs-explicit_2_2__1	Assumed Knowledge and Implicit Information	unable to migrate selection, no match found for check in new resources	ତୁମ୍ଭେମାନେ ପରିତ୍ରାଣ ନିମନ୍ତେ ବୃଦ୍ଧିଲାଭ କରିପାର-1	
figs-explicit_2_6__1	Assumed Knowledge and Implicit Information	unable to migrate selection, no match found for check in new resources	ମନୋନୀତ-1 ବହୁମୂଲ୍ୟ-1 ଏକ କୋଣର ପ୍ରଧାନପ୍ରସ୍ତର-1	
figs-explicit_3_9__1	Assumed Knowledge and Implicit Information	unable to migrate selection, no match found for check in new resources	ଆଶୀର୍ବାଦ କର-1	
figs-idiom_1_13__1	Idiom	unable to migrate selection, no match found for check in new resources	ସମ୍ପୁର୍ଣରୁପେ ସଚେତନ ହୋଇ-1	
figs-idiom_4_7__1	Idiom	unable to migrate selection, no match found for check in new resources	ଯତ୍ନବାନ ହୁଅ-1	
figs-idiom_5_8__1	Idiom	unable to migrate selection, no match found for check in new resources	ସଚେତନ ହୁଅ-1	
figs-metaphor_1_20__1	Metaphor	unable to migrate selection, no match found for check in new resources	ସେ ତୁମ୍ଭମାନଙ୍କ ହିତ ନିମନ୍ତେ-1 ପ୍ରକାଶିତ ହୋଇଅଛନ୍ତି-1	
figs-metaphor_1_4__1	Metaphor	unable to migrate selection, no match found for check in new resources	ଅକ୍ଷୟ ଏବଂ ଅକଳୁଷିତ ଏବଂ ଅକ୍ଷଣୀୟ-1	
figs-metaphor_2_11__1	Metaphor	unable to migrate selection, no match found for check in new resources	ଶାରୀରିକ ଅଭିଳାଷରୁ ପୃଥକ ରହିବା ନିମନ୍ତେ-1	
