Reference	Localized Group	Message	Selections	
figs-123person_12_2__1	First, Second or Third Person	unable to migrate selection, no match found for check in new resources	ખ્રિસ્તમાં એક એવા માણસને હું ઓળખું છું-1 {જેને} ૧૪ વર્ષ ઉપર ત્રીજા આકાશમાં ઉપાડી લેવામાં આવ્યો.-1	
figs-123person_12_3__1	First, Second or Third Person	unable to migrate selection, no match found for check in new resources	એવા માણસને હું ઓળખું છું-1	
figs-123person_12_4__1	First, Second or Third Person	unable to migrate selection, no match found for check in new resources	તેને પારાદૈસમાં ઉપાડી લેવામાં આવ્યો અને માણસથી બોલી શકાય નહિ એવી અકથનીય વાતો તેના સાંભળવામાં આવી.-1	
figs-123person_12_5__1	First, Second or Third Person	unable to migrate selection, no match found for check in new resources	એવા {માણસ}ને લીધે હું અભિમાન કરીશ. પણ મારે પોતાને વિશે હું અભિમાન કરીશ નહિ,-1	
figs-abstractnouns_10_15__1	Abstract Nouns	unable to migrate selection, no match found for check in new resources	પણ અમને આશા છે કે જેમ {જેમ} તમારો વિશ્વાસ વધશે,-1	
figs-abstractnouns_10_15__1	Abstract Nouns	unable to migrate selection, no match found for check in new resources	પુષ્કળ-1	
figs-abstractnouns_10_2__1	Abstract Nouns	unable to migrate selection, no match found for check in new resources	જે આત્મવિશ્વાસ સાથે-1	
figs-abstractnouns_10_4__1	Abstract Nouns	unable to migrate selection, no match found for check in new resources	અમારી લડાઈનાં-1	
figs-abstractnouns_10_5__1	Abstract Nouns	unable to migrate selection, no match found for check in new resources	ઈશ્વરના જ્ઞાન-1	
figs-abstractnouns_10_5__1	Abstract Nouns	unable to migrate selection, no match found for check in new resources	ખ્રિસ્તની આધિનતામાં-1	
figs-abstractnouns_10_6__1	Abstract Nouns	unable to migrate selection, no match found for check in new resources	તૈયાર છીએ.-1	
figs-abstractnouns_10_6__1	Abstract Nouns	unable to migrate selection, no match found for check in new resources	જ્યારે તમારું આજ્ઞાપાલન સંપૂર્ણ થશે, ત્યારે સર્વ આજ્ઞાભંગનો-1	
figs-abstractnouns_10_7__1	Abstract Nouns	unable to migrate selection, no match found for check in new resources	બહારનો દેખાવ-1	
figs-abstractnouns_10_8__1	Abstract Nouns	unable to migrate selection, no match found for check in new resources	જે અધિકાર પ્રભુએ-1 અમને આપ્યો-1	
figs-abstractnouns_11_10__1	Abstract Nouns	unable to migrate selection, no match found for check in new resources	મારામાં જે ખ્રિસ્તની સત્યતા છે-1	
figs-abstractnouns_11_12__1	Abstract Nouns	unable to migrate selection, no match found for check in new resources	લાગ શોધે છે તેઓને લાગ ન મળે-1	
figs-abstractnouns_11_15__1	Abstract Nouns	unable to migrate selection, no match found for check in new resources	ન્યાયીપણાનાં સેવકો-1	
figs-abstractnouns_11_17__1	Abstract Nouns	unable to migrate selection, no match found for check in new resources	મૂર્ખતા-1	
figs-abstractnouns_11_17__1	Abstract Nouns	unable to migrate selection, no match found for check in new resources	બડાઈની આ સ્થિતિમાં-1	
figs-abstractnouns_11_1__1	Abstract Nouns	unable to migrate selection, no match found for check in new resources	થોડાઘણા મુર્ખપણાનું-1	
figs-abstractnouns_11_21__1	Abstract Nouns	unable to migrate selection, no match found for check in new resources	વખોડનાર તરીકે-1	
figs-abstractnouns_11_21__1	Abstract Nouns	unable to migrate selection, no match found for check in new resources	મૂર્ખતાથી-1	
figs-abstractnouns_11_23__1	Abstract Nouns	unable to migrate selection, no match found for check in new resources	વધારે વખત કેદખાનામાં-1	
figs-abstractnouns_11_23__1	Abstract Nouns	unable to migrate selection, no match found for check in new resources	મરણના {પંજામાં}-1	
figs-abstractnouns_11_26__1	Abstract Nouns	unable to migrate selection, no match found for check in new resources	નદીઓના વિધ્નોમાં, લુંટારાઓ તરફનાં, સ્વદેશીઓ તરફનાં, પરદેશીઓ તરફના, શહેરમાંના, અરણ્યમાંના, સમુદ્રનાં, તથા ખોટા ભાઈઓ તરફના જોખમો વેઠ્યા;-1	
figs-abstractnouns_11_27__1	Abstract Nouns	unable to migrate selection, no match found for check in new resources	શ્રમ તથા કષ્ટ, વારંવારના ઉજાગરા, ભૂખ તથા તરસ, વારંવારની ભૂખ, ટાઢ તથા વસ્ત્રની અછત, એ સર્વ સહન કર્યું;-1	
figs-abstractnouns_11_28__1	Abstract Nouns	unable to migrate selection, no match found for check in new resources	એક કાળજી મારા પર દરરોજ થાય છે-1 એટલે બધી મંડળીઓ વિશેની ચિંતા.-1	
figs-abstractnouns_11_2__1	Abstract Nouns	unable to migrate selection, no match found for check in new resources	ઈશ્વરીય ઈર્ષાથી-1	
